nth,trial,coll.date,site,baggie,colony.id,gps.device,gps.wp,lat,long,depth.below,height.above,camera,habitat,TH.imaging,img.start,img.stop,file.start,file.stop,all.images,filt.images,orientation,notes
066,09,2023-05-13,Hilton,4,HH15,64sx,072,17.48145,149.84601,95,44,2,sheltered,no,1047,,,,,,,
067,09,2023-05-13,Hilton,5,HH16,64sx,073,17.48150,149.84639,99,62,2,open,no,1058,,,,,,,
068,09,2023-05-13,Hilton,6,HH17,64sx,074,17.48148,149.84645,86,75,2,open,no,1059,,,,,,,
069,09,2023-05-13,Hilton,7,HH18,64sx,075,17.48121,149.84633,52,133,2,open/overhang,no,,,,,,,,
070,10,2023-05-15,Hilton,1,HH19,64sx,076,17.48130,149.84636,113,68,2,sheltered,yes,20,532,,,,,,logger
071,10,2023-05-15,Hilton,2,HH20,64sx,077,17.48126,149.84613,41,123,2,open,yes,537,1136,,,,,,
072,10,2023-05-15,Hilton,3,HH21,64sx,078,17.48158,149.84564,75,74,2,crevice,no,1162,1182,,,,,,"branches long and thin, maybe not hyacinthus?"
073,10,2023-05-15,Hilton,4,HH22,64sx,079,17.48159,149.84564,115,37,2,overhang,no,1183,1198,,,,,,
074,10,2023-05-15,Hilton,5,HH23,64sx,080,17.48173,149.84506,28,94,2,open,yes,1199,1771,,,,,,
075,10,2023-05-15,Hilton,6,HH24,64sx,081,17.48119,149.84512,97,55,2,crevice/overhang,no,1832,1852,,,,,,
076,10,2023-05-15,Hilton,7,HH25,64sx,082,17.48106,149.84518,67,95,2,open/crevice,yes,1868,2451,,,,,,was pale going into heat trial
077,10,2023-05-15,Hilton,8,HH26,64sx,083,17.48107,149.84521,95,63,2,sheltered/crevice,yes,2452,2995,,,,,, 
078,10,2023-05-16,Hilton,9,HH27,64sx,084,17.48091,149.84534,113,57,2,sheltered,no,2996,2996,,,,,,"unsure if hyacinthus, the branches were long"
079,11,2023-05-16,Hilton,1,HH28,64sx,085,17.48113,149.84616,43,79,2,exposed,yes,5,449,,,,,,
080,11,2023-05-16,Hilton,2,HH29,64sx,086,17.48108,149.84616,87,65,2,open,yes,450,931,,,,,,
081,11,2023-05-16,Hilton,3,HH30,64sx,088,17.48106,149.84613,69,62,2,overhang,no,932,955,,,,,,rocky bottom
082,11,2023-05-16,Hilton,4,HH31,64sx,089,17.48119,149.84615,90,51,2,sheltered,yes,956,1513,,,,,,
083,11,2023-05-16,Hilton,5,HH32,64sx,090,17.48116,149.84602,56,77,2,open,no,1641,1668,,,,,,
084,11,2023-05-16,Hilton,6,HH33,64sx,091,17.48116,149.84601,44,79,2,open,no,1670,1698,,,,,,tiered and encrusting
085,11,2023-05-16,Hilton,7,HH34,64sx,092,17.48127,149.84561,109,12,2,overhang,yes,1699,2246,,,,,,
086,11,2023-05-16,Hilton,8,HR03,64sx,093,17.48113,149.84521,61,63,2,open,yes,2247,2969,,,,,,
087,11,2023-05-16,Hilton,9,HH35,64sx,094,17.48111,149.84532,77,54,2,sheltered,no,2970,,,,,,,
088,12,2023-05-17,Hilton,1,HH36,64sx,095,17.48179,149.84631,55,90,2,exposed,yes,1,596,P5170001,P5170596,,,flat,
089,12,2023-05-17,Hilton,2,HH37,64sx,096,17.48210,149.84628,95,54,2,sheltered,yes,597,1113,P5170597,P5171113,,,flat,inside hollow bommie; colony pretty pale before starting heat trial
090,12,2023-05-17,Hilton,3,HH38,64sx,097,17.48207,149.84642,59,91,2,open,yes,1114,1624,P5171114,P5171624,,,flat,
091,12,2023-05-17,Hilton,4,HH39,64sx,098,17.48203,149.84642,93,30,2,overhang,no,1625,1646,P5171625,P5171646,,,slightly north,
092,12,2023-05-17,Hilton,5,HH40,64sx,099,17.48192,149.84709,79,74,2,overhang,no,1647,1658,P5171647,P5171658,,,flat,
093,12,2023-05-17,Hilton,6,HH41,64sx,100,17.48211,149.84723,38,107,2,open,yes,1659,2162,P5171659,P5172162,,,flat,
094,12,2023-05-17,Hilton,7,HH42,64sx,102,17.48233,149.84741,16,123,2,open,no,2164,2206,P5172164,P5172206,,,slightly east,
095,12,2023-05-17,Hilton,8,HH43,64sx,103,17.48231,149.84764,17,130,2,sheltered/crevice,no,2207,2253,P5172207,P5172253,,,flat,situated between other corals above and below
096,12,2023-05-17,Hilton,9,HH44,64sx,104,17.48236,149.84740,41,82,2,open,no,2254,2289,P5172254,P5172289,,,southeast,
097,12,2023-05-17,Hilton,10,HH45,64sx,105,17.48220,149.84735,76,54,2,open,yes,2290,2806,P5172290,P5172806,,,slightly north ,
098,13,2023-05-18,Jet Ski,1,JR05,64sx,106,17.47754,149.78868,47,89,2,open/crevice,yes,26,601,P5180026,P5180601,,,east,benthic
099,13,2023-05-18,Jet Ski,2,JR06,64sx,107,17.47654,149.78995,112,28,2,open,yes,602,979,P5180602,P5180979,,,slightly southeast,south
100,13,2023-05-18,Jet Ski,3,JR07,64sx,108,17.47663,149.78993,105,21,2,overhang,no,980,990,P5180980,P5180990,,,south,
101,13,2023-05-18,Jet Ski,4,JH46,64sx,109,17.47593,149.78970,63,58,2,sheltered,yes,995,1535,P5180995,P5181535,,,flat,
102,13,2023-05-18,Jet Ski,5,JH47,64sx,110,17.47585,149.78964,33,98,2,open,yes,1536,1927,P5181536,P5181927,,,slightly east,
103,13,2023-05-18,Jet Ski,6,JH48,64sx,111,17.47536,149.78926,154,45,2,crevice/overhang,no,1928,1950,P5181929,P5181950,,,flat,
104,13,2023-05-18,Jet Ski,7,JH49,64sx,112,17.47530,149.78917,116,34,2,overhang,yes,1951,2398,P5181951,P5182398,,,slightly east,
105,13,2023-05-18,Jet Ski,8,JH50,64sx,113,17.47532,149.78883,165,28,2,other,no,2399,2411,P5182399,P5182411,,,slightly northeast,
106,14,2023-05-19,Hilton,1,HH46,64sx,114,17.48236,149.84633,117,28,2,overhang,yes,2459,2923,P5192459,P5192923,,,slightly northwest,
107,14,2023-05-19,Hilton,2,HH47,64sx,115,17.48219,149.84738,87,55,2,sheltered,yes,2924,3382,P5192924,P5193382,,,slightly northeast,
108,14,2023-05-19,Hilton,3,HH48,64sx,116,17.48210,149.84764,77,64,2,sheltered/open,yes,3383,3845,P5193383,P5193845,,,slightly northeast,
109,14,2023-05-19,Hilton,4,HH49,64sx,117,17.48215,149.84770,66,71,2,crevice,no,3846,3869,P5193846,P5193869,,,southwest,
110,15,2023-05-21,Jet Ski,1,JH51,64sx,118,17.47595,149.78819,58,103,2,exposed,yes,11,607,P5210011,P5210607,,,slightly northeast,was pale going into heat trial; tank 1 flow was super low the morning of preservation 
111,15,2023-05-21,Jet Ski,2,JH52,64sx,119,17.47597,149.78821,138,20,2,overhang,no,612,635,P5210612,P5210635,,,slightly northwest,tank 1 flow was super low the morning of preservation 
112,15,2023-05-21,Jet Ski,3,JH53,64sx,120,17.47562,149.78827,119,74,2,crevice,no,639,662,P5210639,P5210662,,,flat,tank 1 flow was super low the morning of preservation 
113,15,2023-05-21,Jet Ski,4,JR08,64sx,121,17.47524,149.78827,141,59,2,open,yes,663,1123,P5210663,P5211123,,,northwest,was pale going into heat trial; tank 1 flow was super low the morning of preservation 
114,15,2023-05-21,Jet Ski,5,JR09,64sx,122,17.47521,149.78816,133,67,2,overhang,no,1124,1151,P5211124,P5211151,,,south southwest,mostly south
115,15,2023-05-21,Jet Ski,6,JH54,64sx,123,17.47530,149.78816,174,35,2,crevice,no,1161,1194,P5211161,P5211194,,,east,was pale going into heat trial
116,15,2023-05-21,Jet Ski,7,JH55,64sx,124,17.47507,149.78789,157,63,2,open,yes,1195,1752,P5211195,P5211752,,,flat,
117,15,2023-05-21,Jet Ski,8,JH56,64sx,125,17.47542,149.78709,129,64,2,sheltered/crevice,no,1770,1799,P5211770,P5211799,,,slightly north ,was pale going into heat trial
118,15,2023-05-21,Jet Ski,9,JR10,64sx,126,17.47577,149.78653,100,67,2,overhang,yes,1800,2280,P5211800,P5212280,,,west northwest,was pale going into heat trial
119,15,2023-05-21,Jet Ski,10,JH57,64sx,127,17.47574,149.78648,115,36,2,open,yes,2281,2780,P5212281,P5212780,,,flat,
120,16,2023-05-22,Hilton,1,HH50,64sx,128,17.48113,149.84602,103,53,2,sheltered/overhang,no,1,17,P5220001,P5220017,,,slightly northwest,
121,16,2023-05-22,Hilton,2,HH51,64sx,129,17.48101,149.84594,76,84,2,crevice,no,18,40,P5220018,P5220040,,,flat,
122,16,2023-05-22,Hilton,3,HH52,64sx,130,17.48096,149.84494,67,80,2,open,yes,41,584,P5220041,P5220584,,,slightly north,
123,16,2023-05-22,Hilton,4,HH53,64sx,132,17.48099,149.84453,71,77,2,open,yes,586,1068,P5220586,P5221068,,,slightly east,
124,16,2023-05-22,Hilton,5,HH54,64sx,133,17.48094,149.84471,47,93,2,open,yes,1069,1613,P5221069,P5221613,,,slightly northeast,colony shoots out from substrate like overhang
125,16,2023-05-22,Hilton,6,HH55,64sx,134,17.48100,149.84586,84,77,2,overhang,no,1614,1639,P5221614,P5221639,,,flat,
126,17,2023-05-23,Hilton,1,HH56,64sx,135,17.48161,149.84644,90,53,2,overhang,no,1,30,P5230001,P5230030,,,flat,
127,17,2023-05-23,Hilton,2,HH57,64sx,136,17.48247,149.84746,81,61,2,crevice,no,31,66,P5230031,P5230066,,,slightly southeast,
128,17,2023-05-23,Hilton,3,HH58,64sx,137,17.48233,149.84782,40,111,2,open,no,67,97,P5230067,P5230097,,,slightly northeast,colony shoots out from substrate like overhang
129,17,2023-05-23,Hilton,4,HH59,64sx,138,17.48241,149.84810,61,82,2,open,yes,98,716,P5230098,P5230716,,,flat,
130,17,2023-05-23,Hilton,5,HH60,64sx,139,17.48247,149.84804,47,91,2,open,yes,717,1178,P5230717,P5231178,,,slightly northeast,
131,17,2023-05-23,Hilton,6,HR04,64sx,140,17.48287,149.84883,104,66,2,open,yes,1179,1647,P5231179,P5231647,,,northwest,
132,17,2023-05-23,Hilton,7,HH61,64sx,141,17.48227,149.84837,115,77,2,overhang,no,1648,1672,P5231648,P5231672,,,flat,
133,17,2023-05-23,Hilton,8,HH62,64sx,142,17.48227,149.84836,72,113,2,open,no,1673,1692,P5231673,P5231692,,,very slightly northeast,colony shoots out from substrate like overhang
134,18,2023-05-24,Hilton,1,HH63,64sx,143,17.47965,149.84209,133,105,2,slightly sheltered,yes,1,523,P5240001,P5240523,,,flat,
135,18,2023-05-24,Hilton,2,HH64,64sx,144,17.47957,149.84198,123,72,2,sheltered,yes,524,1020,P5240524,P5241020,,,slightly northeast,
